smiles,DockingScore
O[C@H]1[C@H](C[C@H]([C@H]([C@H]1O)O)C)OC(=O)c1cc(O)ccc1O,-9.865509033203123
[O-]C(=O)c1ccc(c(c1)O)O,-9.858162879943848
NNC(=O)[C@H]1OC(CO)C(C(C1O)O)O,-9.853814125061035
OCc1c(CO)cnc(c1O)Cl,-9.853682518005373
Oc1ccc(c(c1)O)C(=O)OCc1cc(=O)n2c(n1)sc1c2cccc1,-9.85173225402832
Oc1ccc(cc1O)Cc1nccc2c1cc(O)c(c2)O,-9.845585823059082
OC[C@H]1NC[C@H]([C@H](C1(F)F)O)O,-9.844595909118652
OC[C@H]([C@@H](Cn1cnc2c1ncnc2N)O)O,-9.842793464660645
O=C(c1ccc(c(c1O)O)O)/C=C/c1ccccc1,-9.838859558105469
OC1C=CC(C(C1O)O)[NH2+]Cc1ccccc1O,-9.838135719299316
OC(Cn1c2ccc(cc2c(c1C)C)C)C[NH+]1CCCCC1C,-9.832721710205078
Oc1cnc2c(c1O)c(O)ccc2O,-9.824132919311523
OCc1cc(O)c(c(c1)O)CCC(O)(C)C,-9.823143005371094
Fc1ccc(c(c1)C(=O)/C=C/c1ccccc1O)O,-9.81903839111328
OCC([NH2+]Cc1cc2c3ccccc3ccc2c2c1cccc2)(CO)C,-9.815582275390623
COc1ccccc1Cc1nc2ccccc2nc1O,-9.809032440185549
O[C@H]1[C@H](O)CN2[C@@H]([C@H]1O)SCCC2=O,-9.808069229125977
OC[C@H]([C@@H]([C@H](CO)O)O)O,-9.80553913116455
Brc1cc(Cc2cc(Br)c(c(c2O)Br)[O-])c(c(c1[O-])Br)O,-9.804292678833008
OC(Cn1c2ccccc2c2c1cccc2)Cn1cncn1,-9.78994369506836
[O-]C(=O)c1cc(O)c(c(c1)O)O,-9.78779125213623
OC[C@H]([C@@H]1OC(=C(C1=O)O)[O-])O,-9.780102729797363
O[C@@H]1CN(C(=O)[C@@H]1[NH3+])O,-9.77979850769043
OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1[nH]c(N)nc2=S,-9.779396057128906
Oc1cc2c(=O)oc3c(c2cc1O)cccc3,-9.768362045288086
OC(Cn1c2c(Cl)cccc2c(c1C)C)C[NH+]1CCC(CC1)C,-9.760969161987305
O[C@@H]1C[C@@](O)(C=C[C@H]1OCc1ccc(cc1)[N+](=O)[O-])C(=O)[O-],-9.760330200195312
OCCC(Cn1cc(c2c1ncnc2N)C(=O)N)O,-9.759902000427246
Oc1ccc(cc1O)c1nc2c(o1)cccc2,-9.759385108947754
CCC[NH+](CC1CCc2c1cc(O)c(c2)O)CCC,-9.758159637451172
OCc1ccccc1/C=C/Cc1cc2OCCc2cc1O,-9.757318496704102
OC[C@@H]1[C@H](O)C[C@@H]([C@H]([NH+]1C)CO)O,-9.755647659301758
O[C@H]1[C@H](O)CN2[C@H]([C@H]1O)SCCC2=O,-9.755475044250488
O=C1COc2c(N1O)cccc2,-9.747566223144531
CNC(=O)N[C@@H]1[C@H](O)C[C@@H]2[C@H]1NC(=O)c1n2c(Br)cc1,-9.747269630432127
OC(COc1ccc(c2c1cccc2)Cl)C[NH2+]C(C)C,-9.74565315246582
OCc1c(CO)cnc(c1O)C#C,-9.74490737915039
Fc1ccc(cc1)Cn1cc(C)c(=O)n(c1=O)O,-9.741470336914062
[O-]C(=O)c1cc(NC(=O)CC(=O)OCC)c(cc1)O,-9.737754821777344
O=C(c1cc(O)c(c(c1)O)O)NC1=[NH+]CCS1,-9.735933303833008
O=C1C=C2CC3(C(=C2C=C1O)c1ccc(c(c1OC3)O)O)O,-9.728257179260254
OC1C(C)SC(C(C1O)O)O,-9.727472305297852
ONC(=O)CNC(=O)c1ccccc1,-9.723840713500977
OC(c1cccc(c1O)C)c1ccncc1,-9.719982147216797
[O-]C(=O)c1ccc(c(c1O)O)O,-9.719482421875
CCCCCCc1ccc(c(c1)C(=O)NCc1ccc(c(c1)Cl)Cl)O,-9.718952178955078
OC(c1nc2c([nH]1)cccc2)c1ccccc1,-9.71848201751709
O[C@@H]1C=C(C[C@H]([C@@H]1O)n1nnc(c1)Cc1ccccc1)C(=O)[O-],-9.715303421020508
CC(=O)c1ncc(s1)[C@H]([C@@H]([C@@H](CO)O)O)O,-9.712854385375977
[O-][N+](=O)c1cc2nc(O)c(nc2cc1C[NH+]1CCC1)O,-9.712722778320312
OC[C@H]1O[C@H]([C@@H]([C@H]([C@H]1O)O)O)S(=O)(=O)N,-9.704315185546877
OCC(C1OCOC(C1O)C(CO)O)O,-9.701128005981444
ONC(=O)CNc1cc(F)cc(c1)F,-9.69940185546875
OCC1O[C@H](C)C(C(C1O)O)O,-9.691253662109377
Oc1ccc(cc1Cc1cc(Br)ccc1O)Br,-9.688918113708496
Oc1ccc2c(c1)[nH]c(n2)c1ccccn1,-9.68825912475586
ONC(=O)C(C(=O)C[NH+](Cc1ccccc1)C)[NH3+],-9.688118934631348
Oc1nc2c(C)cccc2cc1COC(=O)c1cccs1,-9.684359550476074
OC(Cn1c2ccccc2c(c1C)C)C[NH+]1CCCCCC1,-9.677228927612305
NC(=O)c1c(N)[nH]c(=O)n(c1=O)O,-9.675910949707031
OCC(=O)[C@H]([C@@H]([C@H](C(=O)[O-])O)O)O,-9.675780296325684
OC[C@H]1OC[C@H]([C@H]([C@@H]1O)O)O,-9.66789436340332
OCCNc1ccnc(n1)Nc1cccc(c1)F,-9.666574478149414
Oc1ccc2c(c1)cccc2c1noc2c1ccc(c2)O,-9.664054870605469
CC(C[NH+]1CCc2c3[C@H]1Cc1ccc(c(c1-c3ccc2)O)O)C,-9.663283348083496
O=C1C=C([O-])c2c(C1=O)cccc2O,-9.660131454467772
[O-]C(=O)Cc1cs/c(=N/C(=O)CS(=O)(=O)c2cccc(c2)Cl)/n1O,-9.659698486328123
N#C/C(=C(/COC(=O)CC1CCCC1)\O)/C(=N)C,-9.657543182373049
O[C@@H]1CN(OCc2ccccc2)C[C@@H]([C@@H]1O)O,-9.656534194946287
OCC([C@H]1OC(=O)[C@@H]([C@@H]1O)O)O,-9.65300464630127
OCc1c(Cc2cc(O)ccc2O)c(O)cc(c1O)Cl,-9.652456283569336
OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](c2n1ccn2)O,-9.647751808166504
ONC(=O)c1ccc(c(c1)O)O,-9.646673202514648
Oc1ccc(c2c1cccc2O)O,-9.642767906188965
Oc1ccc(cc1O)c1nc2ccccc2c(=O)[nH]1,-9.635143280029297
OCC1O[C@@H](C(=O)N)C(C(C1O)O)O,-9.630704879760742
OCC1=C[C@@H](O)[C@H]([C@H](C1=O)Cl)O,-9.629796981811523
ONC(=O)Cc1cc(OC)c(cc1Cl)OC,-9.62899398803711
O=C(Cc1ccn[nH]1)Nc1cncc(c1O)Br,-9.628650665283203
Oc1nc2ccccc2cc1COC(=O)c1ccncc1,-9.62558364868164
O=C(O[C@@H]1C[C@](O)(C(=O)[O-])[C@H]([C@H]([C@H]1O)O)O)/C=C/c1ccc(cc1)O,-9.622303009033203
